 #bytes #iterations    t_min[usec]    t_max[usec]  t_typical[usec]    t_avg[usec]    t_stdev[usec]   99% percentile[usec]   99.9% percentile[usec]
 69      10000          1.91           6.29         1.97     	       1.98        	0.08   		2.36    		2.65   
 70      10000          1.92           6.13         1.97     	       1.98        	0.08   		2.36    		2.40   
 71      10000          1.91           6.06         1.97     	       1.98        	0.08   		2.36    		2.87   
 72      10000          1.91           4.48         1.97     	       1.98        	0.08   		2.36    		2.39   
 73      10000          1.95           4.13         2.00     	       2.01        	0.08   		2.39    		3.00   
 74      10000          1.94           4.20         1.99     	       2.00        	0.08   		2.38    		2.41   
 75      10000          1.95           4.73         1.99     	       2.00        	0.08   		2.39    		2.85   
 76      10000          1.95           6.26         1.99     	       2.00        	0.08   		2.39    		2.42   
 77      10000          1.92           4.99         1.97     	       1.99        	0.08   		2.38    		3.03   
 78      10000          1.92           41.64        1.97     	       1.99        	0.08   		2.38    		2.43   
 79      10000          1.92           6.17         1.97     	       1.99        	0.09   		2.39    		2.94   
 80      10000          1.93           6.13         1.98     	       1.99        	0.07   		2.38    		2.42   
 81      10000          1.92           42.66        1.97     	       1.99        	0.09   		2.39    		2.99   
 82      10000          1.92           6.07         1.98     	       1.99        	0.08   		2.38    		2.40   
 83      10000          1.92           6.14         1.99     	       2.00        	0.08   		2.39    		2.62   
 84      10000          1.92           5.69         1.98     	       1.99        	0.08   		2.39    		2.43   
 85      10000          1.93           54.60        1.97     	       1.99        	0.09   		2.39    		3.01   
 86      10000          1.92           6.19         1.97     	       1.99        	0.08   		2.38    		2.41   
 87      10000          1.92           6.13         1.97     	       1.99        	0.08   		2.38    		2.93   
 88      10000          1.92           6.06         1.98     	       1.99        	0.08   		2.38    		2.41   
 89      10000          1.95           6.16         2.00     	       2.01        	0.09   		2.41    		3.02   
 90      10000          1.95           3.89         2.00     	       2.01        	0.07   		2.39    		2.43   
 91      10000          1.95           7.08         2.00     	       2.01        	0.08   		2.39    		2.51   
 92      10000          1.95           6.59         2.00     	       2.01        	0.09   		2.39    		2.98   
 93      10000          1.98           6.11         2.03     	       2.04        	0.08   		2.42    		2.65   
 94      10000          1.98           4.26         2.03     	       2.04        	0.08   		2.43    		2.66   
 95      10000          1.98           4.56         2.03     	       2.04        	0.08   		2.43    		2.78   
 96      10000          1.98           5.02         2.03     	       2.04        	0.08   		2.42    		2.69   
 97      10000          1.99           5.02         2.03     	       2.04        	0.08   		2.42    		2.46   
 98      10000          1.98           6.06         2.03     	       2.04        	0.08   		2.43    		2.56   
 99      10000          1.97           6.18         2.03     	       2.04        	0.08   		2.43    		2.88   
 100     10000          1.98           54.61        2.03     	       2.04        	0.08   		2.43    		2.95   
 101     10000          1.98           6.18         2.03     	       2.04        	0.08   		2.42    		2.89   
 102     10000          1.98           6.13         2.03     	       2.05        	0.08   		2.43    		2.91   
 103     10000          1.98           33.73        2.03     	       2.04        	0.08   		2.42    		2.59   
 104     10000          1.98           9.46         2.03     	       2.04        	0.08   		2.43    		2.84   
 105     10000          2.00           18.63        2.05     	       2.06        	0.09   		2.46    		3.11   
 106     10000          2.00           6.20         2.06     	       2.06        	0.08   		2.45    		2.86   
 107     10000          2.00           6.19         2.05     	       2.06        	0.09   		2.45    		3.27   
 108     10000          2.01           6.25         2.04     	       2.06        	0.08   		2.45    		2.48   
 109     10000          1.99           6.23         2.06     	       2.07        	0.08   		2.46    		2.78   
 110     10000          2.01           4.43         2.06     	       2.07        	0.08   		2.46    		2.58   
 111     10000          2.01           5.58         2.06     	       2.07        	0.09   		2.46    		2.91   
 112     10000          2.01           3.91         2.06     	       2.07        	0.08   		2.46    		2.50   
 113     10000          2.02           4.87         2.06     	       2.07        	0.08   		2.46    		2.55   
 114     10000          2.01           6.53         2.06     	       2.07        	0.09   		2.46    		2.97   
 115     10000          2.02           6.20         2.06     	       2.07        	0.08   		2.46    		2.50   
 116     10000          2.00           6.01         2.06     	       2.07        	0.08   		2.46    		3.05   
 117     10000          1.99           6.29         2.06     	       2.07        	0.09   		2.46    		3.02   
 118     10000          2.01           6.12         2.06     	       2.07        	0.08   		2.46    		2.99   
 119     10000          2.01           6.66         2.06     	       2.07        	0.09   		2.46    		2.97   
 120     10000          2.01           61.15        2.06     	       2.08        	0.08   		2.46    		2.95   
 121     10000          2.05           6.22         2.10     	       2.11        	0.09   		2.50    		3.22   
 122     10000          2.04           6.25         2.10     	       2.11        	0.09   		2.50    		3.15   
 123     10000          2.03           14.71        2.10     	       2.11        	0.08   		2.49    		3.01   
 124     10000          2.05           4.35         2.10     	       2.11        	0.08   		2.49    		2.80   
 125     10000          2.06           5.81         2.12     	       2.13        	0.08   		2.52    		3.18   
 126     10000          2.08           4.67         2.12     	       2.13        	0.08   		2.53    		2.72   
 127     10000          2.06           4.29         2.12     	       2.13        	0.08   		2.52    		2.93   
 128     10000          2.06           6.31         2.12     	       2.13        	0.08   		2.52    		2.88   
 129     10000          2.08           46.92        2.13     	       2.14        	0.09   		2.52    		2.92   
 130     10000          2.08           6.33         2.13     	       2.14        	0.09   		2.53    		3.11   
 131     10000          2.06           28.10        2.13     	       2.14        	0.08   		2.52    		2.88   
 132     10000          2.08           15.15        2.13     	       2.14        	0.08   		2.53    		2.82   
 133     10000          2.09           39.61        2.13     	       2.15        	0.09   		2.55    		2.67   
 134     10000          2.08           8.13         2.13     	       2.15        	0.09   		2.55    		3.15   
 135     10000          2.09           6.23         2.13     	       2.15        	0.08   		2.53    		2.58   
 136     10000          2.08           6.30         2.13     	       2.15        	0.08   		2.52    		3.09   
 137     10000          2.10           6.31         2.16     	       2.17        	0.08   		2.56    		2.60   
 138     10000          2.10           6.40         2.16     	       2.16        	0.08   		2.55    		2.60   
 139     10000          2.10           7.08         2.16     	       2.17        	0.09   		2.55    		3.00   
 140     10000          2.10           6.40         2.16     	       2.17        	0.08   		2.55    		3.17   
 141     10000          2.11           8.85         2.16     	       2.17        	0.08   		2.56    		3.30   
