#       nodes     msg (B)     ops         min         avg         p50         p90         p99   Throughput (Gbps)
#--------------------------------------------------------------------------------------------
            2        4000    1000        9.72       10.46       10.37       10.87       11.79                3.09
            3        4000    1000       12.11       12.86       12.68       13.32       18.66                5.05
            4        4000    1000       14.79       15.86       15.60       16.45       21.89                6.15
            5        4000    1000       17.82       21.17       20.97       23.02       28.29                6.10
            6        4000    1000       20.38       23.45       22.90       25.89       30.59                6.99
            7        4000    1000       23.20       26.28       25.61       29.26       34.11                7.50
            8        4000    1000       26.02       28.68       28.00       31.13       38.23                8.00
            9        4000    1000       28.46       30.99       30.58       32.46       39.18                8.37
           10        4000    1000       30.90       33.83       33.24       35.85       43.15                8.66
           11        4000    1000       33.53       36.72       36.08       39.64       44.48                8.87
           12        4000    1000       37.25       41.92       41.24       44.19       49.17                8.53
           13        4000    1000       41.00       44.66       44.04       47.08       52.32                8.72
           14        4000    1000       43.89       47.06       46.24       49.54       56.41                9.00
           15        4000    1000       46.08       49.30       48.59       52.70       58.09                9.22
           16        4000    1000       48.54       51.90       51.22       55.12       59.60                9.37
           17        4000    1000       51.47       55.59       54.90       59.08       63.14                9.33
           18        4000    1000       54.56       59.63       58.60       62.49       66.63                9.28
           19        4000    1000       57.35       61.59       60.96       65.30       70.51                9.45
           20        4000    1000       59.55       64.17       63.20       67.82       77.60                9.62
           21        4000    1000       62.25       66.68       65.86       70.69       77.00                9.72
           22        4000    1000       66.12       70.85       69.91       74.35       81.30                9.61
           23        4000    1000       68.93       73.68       72.86       77.71       85.32                9.66
           24        4000    1000       71.54       76.60       75.49       80.62       87.33                9.75
           25        4000    1000       74.13       79.26       78.23       83.30       90.16                9.82
           26        4000    1000       76.60       82.15       81.22       86.12       92.49                9.85
           27        4000    1000       79.42       84.59       84.07       88.39       93.62                9.90
           28        4000    1000       82.63       88.19       87.50       92.47       99.33                9.87
           29        4000    1000       85.19       91.53       90.17       95.21      104.46                9.94
           30        4000    1000       88.71       95.01       93.99       97.75      105.61                9.87
           31        4000    1000       91.89       97.15       96.56      101.14      107.44                9.94
           32        4000    1000       95.17      100.33       99.62      104.30      110.73                9.96
           33        4000    1000       97.61      103.54      102.97      107.65      113.04                9.95
           34        4000    1000      100.35      106.51      105.77      110.25      117.18                9.98
           35        4000    1000      103.92      110.01      109.62      113.61      120.39                9.93
           36        4000    1000      107.05      112.65      112.26      116.40      121.05                9.98
           37        4000    1000      109.80      116.02      114.98      119.95      125.67               10.02
           38        4000    1000      112.77      119.54      118.28      123.05      134.88               10.01
           39        4000    1000      115.77      121.67      120.91      125.26      132.00               10.06
           40        4000    1000      118.33      124.45      123.92      128.02      132.13               10.07
           41        4000    1000      121.09      127.62      126.92      131.18      138.09               10.09
           42        4000    1000      124.09      130.78      129.64      134.72      142.56               10.12
           43        4000    1000      127.62      133.56      132.50      137.54      143.38               10.14
           44        4000    1000      130.52      136.62      135.97      140.63      147.41               10.12
           45        4000    1000      132.71      139.59      138.70      143.41      149.16               10.15
           46        4000    1000      136.81      143.04      141.82      146.70      154.76               10.15
           47        4000    1000      139.40      146.08      145.00      150.15      158.65               10.15
           48        4000    1000      142.16      148.15      147.66      152.16      156.55               10.19
           49        4000    1000      145.53      151.36      150.79      155.22      161.66               10.19
           50        4000    1000      148.63      154.80      153.66      158.59      164.78               10.20
           51        4000    1000      151.15      157.37      156.48      161.23      170.32               10.22
           52        4000    1000      154.57      160.52      159.77      164.55      169.95               10.21
           53        4000    1000      157.42      164.32      162.89      167.56      176.87               10.22
           54        4000    1000      160.91      166.83      165.69      170.18      176.79               10.24
           55        4000    1000      162.78      169.54      168.80      173.30      179.88               10.24
           56        4000    1000      165.21      173.29      172.25      177.01      183.22               10.22
           57        4000    1000      169.01      176.15      174.99      179.78      186.87               10.24
           58        4000    1000      171.75      179.30      178.50      182.87      187.77               10.22
           59        4000    1000      175.48      182.01      181.16      185.62      190.95               10.24
           60        4000    1000      178.46      185.20      184.14      188.57      198.28               10.25
           61        4000    1000      181.43      187.92      187.00      191.86      201.94               10.27
           62        4000    1000      184.12      190.70      189.72      194.69      200.99               10.29
           63        4000    1000      187.18      193.96      192.89      197.80      205.01               10.29
           64        4000    1000      190.06      196.99      196.09      200.66      207.56               10.28
           65        4000    1000      193.22      199.78      199.13      203.90      209.10               10.28
           66        4000    1000      196.12      203.12      201.83      206.47      214.28               10.31
           67        4000    1000      199.11      206.03      204.95      209.91      220.58               10.31
           68        4000    1000      201.11      208.49      207.53      212.30      218.26               10.33
           69        4000    1000      204.11      211.37      210.59      215.19      222.47               10.33
           70        4000    1000      207.79      214.80      213.82      218.96      229.57               10.33
           71        4000    1000      211.22      218.08      217.05      222.30      239.36               10.32
           72        4000    1000      213.49      221.98      220.22      225.72      284.24               10.32
