#       nodes     msg (B)     ops         min         avg         p50         p90         p99   Throughput (Gbps)
#--------------------------------------------------------------------------------------------
            2      100000    1000       43.56       45.10       44.92       45.93       50.62               17.81
            3      100000    1000       80.59       82.21       81.79       83.11       90.06               19.56
            4      100000    1000      117.47      119.27      118.60      121.56      128.67               20.24
            5      100000    1000      154.04      156.61      155.39      160.35      165.38               20.59
            6      100000    1000      190.76      193.33      192.09      198.25      203.00               20.82
            7      100000    1000      227.73      230.63      229.09      236.27      239.42               20.95
            8      100000    1000      264.05      268.00      265.80      273.35      278.62               21.07
            9      100000    1000      301.24      305.05      303.00      310.75      315.00               21.12
           10      100000    1000      337.72      342.30      340.35      347.93      352.32               21.16
           11      100000    1000      374.52      379.70      378.83      384.81      388.77               21.12
           12      100000    1000      411.18      416.91      416.10      421.71      428.17               21.15
           13      100000    1000      448.00      453.87      454.21      458.26      462.45               21.14
           14      100000    1000      484.59      491.26      491.10      496.43      505.73               21.18
           15      100000    1000      521.40      529.63      529.01      536.32      551.06               21.17
           16      100000    1000      558.04      567.02      566.75      573.84      586.00               21.17
           17      100000    1000      595.01      604.36      603.34      610.50      624.78               21.22
           18      100000    1000      631.38      641.47      640.42      648.14      667.23               21.24
           19      100000    1000      668.74      678.72      677.54      685.46      705.37               21.25
           20      100000    1000      705.37      716.21      714.40      723.30      742.60               21.28
           21      100000    1000      759.62      767.67      765.76      772.56      785.99               20.89
           22      100000    1000      831.80      839.57      837.87      845.47      862.25               20.05
           23      100000    1000      911.28      918.99      917.37      923.46      939.96               19.19
           24      100000    1000      988.09      995.80      993.96     1000.76     1016.62               18.51
           25      100000    1000     1063.71     1072.49     1071.38     1077.98     1088.13               17.92
           26      100000    1000     1143.04     1150.96     1148.98     1156.06     1181.05               17.41
           27      100000    1000     1221.14     1229.82     1228.85     1234.74     1244.10               16.93
           28      100000    1000     1307.16     1326.44     1325.99     1332.75     1341.77               16.29
           29      100000    1000     1376.85     1389.79     1388.59     1399.38     1412.41               16.13
           30      100000    1000     1451.64     1461.64     1460.35     1468.18     1478.57               15.89
           31      100000    1000     1534.52     1546.81     1546.04     1553.52     1565.63               15.52
           32      100000    1000     1609.26     1622.68     1621.20     1629.77     1642.88               15.30
           33      100000    1000     1685.86     1698.22     1696.98     1704.36     1714.33               15.09
           34      100000    1000     1763.29     1775.42     1774.96     1781.28     1790.29               14.87
           35      100000    1000     1847.14     1867.82     1867.09     1876.23     1888.16               14.57
           36      100000    1000     1921.74     1939.27     1938.43     1947.38     1958.00               14.44
           37      100000    1000     1997.26     2012.75     2011.43     2019.70     2031.23               14.32
           38      100000    1000     2048.74     2063.83     2062.63     2071.28     2090.34               14.35
           39      100000    1000     2102.24     2121.25     2120.41     2129.99     2143.71               14.34
           40      100000    1000     2139.70     2157.01     2155.72     2166.58     2182.08               14.47
           41      100000    1000     2197.68     2225.57     2223.97     2238.89     2258.24               14.39
           42      100000    1000     2230.85     2259.59     2257.95     2271.80     2295.40               14.53
           43      100000    1000     2267.05     2288.97     2287.24     2299.25     2329.66               14.69
           44      100000    1000     2320.03     2352.51     2351.35     2366.73     2387.03               14.63
           45      100000    1000     2384.60     2410.32     2408.62     2424.19     2452.55               14.61
           46      100000    1000     2429.55     2464.94     2462.73     2487.36     2513.43               14.62
           47      100000    1000     2598.19     2621.87     2620.45     2633.20     2659.74               14.04
           48      100000    1000     2638.70     2671.89     2667.01     2695.59     2730.03               14.10
           49      100000    1000     2681.49     2714.61     2711.36     2733.74     2766.96               14.16
           50      100000    1000     2719.80     2750.43     2749.67     2762.65     2789.54               14.26
           51      100000    1000     2769.54     2808.04     2807.99     2821.00     2838.60               14.25
           52      100000    1000     2819.20     2857.04     2857.55     2871.43     2888.14               14.28
           53      100000    1000     2860.69     2900.76     2899.85     2916.73     2937.11               14.35
           54      100000    1000     2910.15     2944.02     2940.79     2965.17     3007.47               14.42
           55      100000    1000     2978.98     3034.38     3033.32     3061.87     3113.37               14.24
           56      100000    1000     3030.95     3116.91     3118.72     3141.72     3170.58               14.11
           57      100000    1000     3119.60     3316.65     3280.06     3525.15     3804.86               13.66
           58      100000    1000     3256.10     3403.81     3369.09     3583.56     3822.12               13.53
           59      100000    1000     3410.41     3523.95     3490.64     3661.46     3983.68               13.29
           60      100000    1000     3486.54     3588.43     3561.92     3702.74     3961.51               13.25
           61      100000    1000     3517.11     3647.00     3616.00     3757.18     4130.14               13.27
           62      100000    1000     3588.34     3706.41     3675.58     3837.79     4108.00               13.28
           63      100000    1000     3673.87     3778.61     3740.86     3900.57     4225.79               13.26
           64      100000    1000     3712.71     3840.48     3804.70     3965.95     4241.97               13.25
           65      100000    1000     3788.08     3910.09     3887.99     4016.15     4291.21               13.17
           66      100000    1000     3854.95     3986.36     3965.16     4083.04     4367.41               13.11
           67      100000    1000     3939.36     4077.28     4052.39     4173.71     4479.25               13.03
           68      100000    1000     3996.50     4152.77     4137.68     4243.72     4452.66               12.95
           69      100000    1000     4037.14     4204.99     4180.08     4317.48     4599.05               13.01
           70      100000    1000     4081.92     4280.91     4269.32     4364.62     4595.19               12.93
           71      100000    1000     4194.60     4346.68     4325.37     4443.72     4733.37               12.95
           72      100000    1000     4264.42     4413.11     4383.65     4519.31     4852.77               12.96
