fixed message size = 1KB
#       nodes     msg (B)     ops         min         avg         p50         p90         p99   Throughput (Gbps)
#--------------------------------------------------------------------------------------------
           38      100000    1000     1980.49     2185.99     2177.20     2295.29     2424.62               12.61
           39      100000    1000     2015.31     2269.61     2263.53     2386.34     2513.60               12.47
           40      100000    1000     2217.75     2448.18     2442.97     2567.16     2702.46               11.87
           41      100000    1000     2297.74     2520.82     2511.59     2662.88     2805.59               11.82
           42      100000    1000     2410.48     2641.09     2634.92     2761.33     2879.00               11.57
           43      100000    1000     2403.29     2709.57     2699.84     2846.70     3016.59               11.55
           44      100000    1000     2491.61     2730.25     2721.50     2860.62     3010.80               11.73
           45      100000    1000     2812.47     3068.99     3067.34     3188.04     3311.49               10.68
           46      100000    1000     2833.60     3137.53     3130.51     3274.17     3402.53               10.69
           47      100000    1000     2858.81     3222.17     3215.26     3366.62     3508.48               10.64
           48      100000    1000     3008.29     3319.61     3309.59     3467.37     3599.10               10.55
           49      100000    1000     3053.67     3417.00     3409.63     3590.66     3780.83               10.47
           50      100000    1000     3086.52     3445.47     3433.35     3598.99     3789.84               10.60
           51      100000    1000     3109.20     3449.85     3437.90     3604.95     3825.62               10.80
           52      100000    1000     3184.42     3488.64     3477.62     3625.06     3879.34               10.89
           53      100000    1000     3266.61     3597.07     3588.12     3741.67     3907.48               10.77
           54      100000    1000     3358.23     3661.56     3658.95     3805.83     3945.02               10.78
           55      100000    1000     3436.44     3798.45     3795.17     3951.03     4108.14               10.59



weak scaling, fix per-node data

#       nodes     msg (B)     ops         min         avg         p50         p90         p99   Throughput (Gbps)
#--------------------------------------------------------------------------------------------
            2     2610000    1000     1049.63     1085.19     1082.41     1095.93     1114.44               17.92
            3     1305000    1000      995.77     1033.19     1029.90     1057.23     1078.54               18.82
            4      870000    1000      975.90     1002.08      996.81     1031.34     1069.20               19.41
            5      652500    1000      984.20     1011.42     1004.15     1052.44     1071.77               19.23
            6      522000    1000      989.67     1015.70     1010.13     1048.60     1074.31               19.15
            7      435000    1000      993.29     1019.72     1012.75     1054.48     1073.07               19.07
            8      372857    1000      990.61     1019.12     1010.76     1058.38     1073.77               19.08
            9      326250    1000      998.98     1024.40     1018.01     1057.11     1072.74               18.98
           10      290000    1000     1001.28     1026.22     1019.71     1057.18     1077.92               18.95
           11      261000    1000     1000.56     1027.85     1022.05     1055.63     1068.65               18.92
           12      237272    1000     1004.86     1029.34     1022.39     1056.76     1073.43               18.89
           13      217500    1000     1004.11     1033.22     1027.25     1057.11     1070.38               18.82
           14      200769    1000     1002.62     1034.20     1026.35     1063.15     1076.64               18.80
           15      186428    1000     1006.11     1033.09     1027.96     1055.98     1067.61               18.82
           16      174000    1000     1009.23     1040.45     1035.05     1065.38     1085.87               18.69
           17      163125    1000     1006.01     1038.36     1036.42     1058.44     1069.23               18.73
           18      153529    1000     1011.06     1043.81     1039.15     1068.43     1082.27               18.63
           19      145000    1000     1014.61     1042.85     1042.00     1061.87     1076.26               18.65
           20      137368    1000     1014.79     1045.36     1045.43     1065.86     1079.52               18.60
           21      130500    1000     1019.12     1051.46     1051.22     1069.48     1086.03               18.49
           22      124285    1000     1016.48     1052.83     1052.61     1072.03     1091.08               18.47
           23      118636    1000     1031.12     1068.20     1067.14     1085.82     1114.08               18.20
           24      113478    1000     1039.82     1087.76     1085.40     1113.70     1152.50               17.88
           25      108750    1000     1062.70     1100.26     1098.37     1121.44     1148.13               17.67
           26      104400    1000     1062.92     1109.50     1106.47     1135.93     1170.71               17.53
           27      100384    1000     1081.58     1118.75     1115.87     1141.49     1176.85               17.38
           28       96666    1000     1219.79     1376.98     1376.76     1452.47     1531.85               14.12
           29       93214    1000     1205.10     1334.72     1327.89     1407.78     1490.96               14.57
           30       90000    1000     1212.85     1351.17     1345.01     1425.96     1525.95               14.39
           31       87000    1000     1238.01     1373.67     1369.19     1450.33     1537.11               14.16
           32       84193    1000     1222.11     1362.06     1357.31     1435.37     1510.42               14.28
           33       81562    1000     1256.60     1384.32     1379.31     1458.37     1529.64               14.05
           34       79090    1000     1218.95     1395.08     1389.92     1477.01     1564.84               13.94
           35       76764    1000     1254.34     1405.02     1398.62     1488.05     1565.11               13.84
           36       74571    1000     1278.00     1427.43     1419.93     1505.60     1601.08               13.62
           37       72500    1000     1302.10     1461.08     1453.51     1541.82     1642.84               13.31
           38       70540    1000     1356.36     1525.86     1521.74     1607.90     1692.42               12.74
           39       68684    1000     1333.34     1523.21     1519.68     1598.42     1666.26               12.77
           40       66923    1000     1424.52     1594.04     1589.90     1678.66     1770.17               12.20
           41       65250    1000     1430.20     1591.39     1585.46     1677.77     1769.18               12.22
           42       63658    1000     1478.43     1652.36     1645.74     1735.64     1856.59               11.77
           43       62142    1000     1459.16     1627.80     1624.92     1712.72     1803.92               11.95
           44       60697    1000     1449.02     1600.75     1598.16     1686.09     1770.73               12.15
           45       59318    1000     1630.67     1789.65     1784.28     1860.22     1934.05               10.87
           46       58000    1000     1615.92     1758.74     1754.31     1824.82     1909.18               11.06
           47       56739    1000     1629.84     1753.82     1750.46     1820.01     1904.73               11.09
           48       55531    1000     1649.42     1831.93     1823.08     1937.18     2033.01               10.61
           49       54375    1000     1601.70     1785.69     1781.08     1869.31     1955.03               10.89
           50       53265    1000     1555.54     1760.60     1755.17     1839.83     1921.34               11.05
           51       52200    1000     1556.62     1712.60     1706.94     1788.16     1868.76               11.35
           52       51176    1000     1557.43     1703.08     1699.74     1770.01     1851.88               11.42
           53       50192    1000     1552.42     1706.19     1700.26     1780.00     1851.42               11.40
           54       49245    1000     1560.19     1688.90     1683.66     1763.00     1835.52               11.51
           55       48333    1000     1529.61     1699.42     1693.88     1774.58     1853.66               11.44
