# p2p microbenchmark: sweep message size from 0B to 50000B
# ./submit-clusterperf 2 2 clusterperf.py -r 0 --disjunct --transport basic+ofiud point2point --verbose --cpusPerServer 10 --servers 2 --count 100000 --size 50000

#     nodes  size (B)       ops       min       p50       p90       p99
          2     12300    100000      5.84      7.06      7.80      8.83
          2     12400    100000      5.76      7.04      7.80      8.81
          2     12500    100000      5.82      7.02      7.78      8.85
          2     12600    100000      5.69      6.98      7.71      8.75
          2     12700    100000      5.82      7.04      7.80      8.91
          2     12800    100000      5.74      7.00      7.76      8.84
          2     12900    100000      5.79      6.96      7.73      8.82
          2     13000    100000      5.81      7.04      7.80      8.91
          2     13100    100000      5.91      7.06      7.81      8.94
          2     13200    100000      5.82      7.06      7.82      8.97
          2     13300    100000      5.81      7.13      7.90      9.05
          2     13400    100000      5.70      7.10      7.88      9.30
          2     13500    100000      5.88      7.10      7.86      9.24
          2     13600    100000      5.78      7.05      7.82      9.05
          2     13700    100000      5.69      7.06      7.83      9.07
          2     13800    100000      5.73      7.03      7.81      9.00
          2     13900    100000      5.88      7.11      7.88      9.07
          2     14000    100000      5.89      7.17      7.94      9.17
          2     14100    100000      5.81      7.10      7.87      9.06
          2     14200    100000      5.74      7.04      7.83      9.11
          2     14300    100000      5.83      7.12      7.91      9.22
          2     14400    100000      5.81      7.10      7.88      9.11
          2     14500    100000      5.75      7.09      7.87      9.13
          2     14600    100000      5.91      7.13      7.90      9.16
          2     14700    100000      5.78      7.16      7.94      9.26
          2     14800    100000      5.88      7.08      7.87      9.14
          2     14900    100000      5.82      7.14      7.93      9.22
          2     15000    100000      5.83      7.21      8.01      9.38
          2     15100    100000      5.74      7.11      7.89      9.20
          2     15200    100000      5.76      7.13      7.94      9.20
          2     15300    100000      5.88      7.20      7.98      9.25
          2     15400    100000      5.89      7.18      7.96      9.34
          2     15500    100000      6.20      7.35      8.13      9.57
          2     15600    100000      6.12      7.38      8.16      9.67
          2     15700    100000      6.14      7.30      8.07      9.50
          2     15800    100000      6.24      7.38      8.14      9.61
          2     15900    100000      6.23      7.41      8.19      9.68
          2     16000    100000      6.31      7.45      8.22      9.60
          2     16100    100000      6.31      7.40      8.19     10.11
          2     16200    100000      6.29      7.50      8.27      9.80
          2     16300    100000      6.28      7.46      8.23      9.68
          2     16400    100000      7.66      9.27     10.06     11.27
          2     16500    100000      7.95      9.32     10.11     11.32
          2     16600    100000      8.03      9.51     10.33     11.64
          2     16700    100000      7.98      9.51     10.30     11.59
          2     16800    100000      7.90      9.49     10.29     11.53
          2     16900    100000      7.96      9.59     10.38     11.67
          2     17000    100000      7.93      9.47     10.30     11.65
          2     17100    100000      8.02      9.50     10.33     11.85
          2     17200    100000      8.02      9.53     10.37     11.80
          2     17300    100000      7.97      9.49     10.30     11.58
          2     17400    100000      8.15      9.56     10.40     11.78
          2     17500    100000      8.07      9.57     10.40     11.67
          2     17600    100000      8.09      9.66     10.48     11.78
          2     17700    100000      8.25      9.72     10.54     11.85
          2     17800    100000      8.08      9.52     10.33     11.61
          2     17900    100000      7.99      9.57     10.40     11.77
          2     18000    100000      7.89      9.52     10.36     11.65
          2     18100    100000      8.07      9.58     10.42     11.76
          2     18200    100000      8.24      9.70     10.52     11.84
          2     18300    100000      8.23      9.70     10.55     11.93
          2     18400    100000      8.13      9.63     10.48     11.84
          2     18500    100000      8.20      9.70     10.54     11.87
          2     18600    100000      8.14      9.67     10.50     11.81
          2     18700    100000      8.29      9.78     10.61     11.95
          2     18800    100000      8.19      9.72     10.58     11.97
          2     18900    100000      8.18      9.80     10.64     12.06
          2     19000    100000      8.08      9.69     10.51     11.85
          2     19100    100000      8.25      9.82     10.65     12.12
          2     19200    100000      8.24      9.81     10.65     12.01
          2     19300    100000      8.29      9.77     10.63     11.97
          2     19400    100000      8.31      9.67     10.53     12.13
          2     19500    100000      8.33      9.88     10.76     12.36
          2     19600    100000      8.22      9.73     10.58     12.08
          2     19700    100000      8.24      9.75     10.60     12.05
          2     19800    100000      8.36      9.90     10.74     12.11
          2     19900    100000      8.22      9.71     10.54     11.82
          2     20000    100000      8.29      9.84     10.69     11.99
          2     20100    100000      8.22      9.71     10.56     12.01
          2     20200    100000      8.37      9.82     10.68     12.22
          2     20300    100000      8.32      9.82     10.70     12.24
          2     20400    100000      8.36      9.83     10.68     12.01
          2     20500    100000      8.54     10.01     10.87     12.14
          2     20600    100000      8.65     10.10     10.96     12.32
          2     20700    100000      8.39      9.95     10.83     12.17
          2     20800    100000      8.55     10.01     10.87     12.42
          2     20900    100000      8.67     10.18     11.04     12.83
          2     21000    100000      8.51     10.04     10.90     12.74
          2     21100    100000      8.49     10.10     10.97     12.38
          2     21200    100000      8.73     10.23     11.08     12.23
          2     21300    100000      8.65     10.20     11.04     12.12
          2     21400    100000      8.55     10.15     11.01     12.36
          2     21500    100000      8.46     10.01     10.90     12.52
          2     21600    100000      8.56     10.11     11.02     12.88
          2     21700    100000      8.77     10.29     11.18     12.72
          2     21800    100000      8.68     10.21     11.10     12.68
          2     21900    100000      8.69     10.24     11.13     12.46
          2     22000    100000      8.67     10.12     11.01     12.32
