============================
Servers/machine = 1
Broadcast Tree	= Flat
Message Size	= 100B
============================

#     nodes  size (B)       ops       min       p50       p90       p99
#----------------------------------------------------------------------
         28     32000      1000    136.60    137.81    138.93    140.32
         29     32000      1000    141.83    143.09    144.44    146.10
         30     32000      1000    147.11    148.48    150.01    157.78
         31     32000      1000    151.88    153.29    154.40    156.99
         32     32000      1000    157.09    158.63    160.11    162.31
         33     32000      1000    162.56    164.23    166.09    169.17
         34     32000      1000    167.36    168.84    170.12    172.18
         35     32000      1000    172.76    174.43    176.20    178.46
         36     32000      1000    177.91    179.55    181.22    191.03
         37     32000      1000    182.84    184.37    185.93    187.83
         38     32000      1000    187.93    189.91    191.86    193.94
         39     32000      1000    193.59    195.47    197.23    201.60
         40     32000      1000    198.67    200.74    202.44    205.71
         41     32000      1000    204.00    206.37    208.19    210.94
         42     32000      1000    209.05    211.96    213.80    216.76
         43     32000      1000    213.98    216.54    218.49    220.58
         44     32000      1000    219.33    222.40    224.56    226.47
         45     32000      1000    224.83    227.89    230.08    233.02
         46     32000      1000    229.76    233.21    235.25    238.53
         47     32000      1000    234.94    239.01    241.15    244.41
         48     32000      1000    240.60    244.78    246.85    249.93
         49     32000      1000    245.30    250.09    252.10    254.12
         50     32000      1000    250.43    256.06    258.12    482.45
         51     32000      1000    255.47    261.60    263.69    490.05
         52     32000      1000    260.44    266.65    268.66    494.11
         53     32000      1000    266.10    272.70    274.95    291.37
         54     32000      1000    271.36    277.99    280.32    502.93
         55     32000      1000    276.37    284.05    286.30    525.76
         56     32000      1000    280.87    289.77    294.30    516.58
         57     32000      1000    286.97    295.83    298.87    535.27
         58     32000      1000    292.08    300.96    303.18    569.52

============================
Servers/machine = 1
Broadcast Tree	= Flat
Message Size	= 40KB
============================

#     nodes  size (B)       ops       min       p50       p90       p99
#----------------------------------------------------------------------
          2     40000      1000     10.67     11.78     13.07     14.11
          3     40000      1000     14.22     15.39     16.67     18.22
          4     40000      1000     18.13     19.01     19.79     21.23
          5     40000      1000     23.71     25.36     26.63     28.30
          6     40000      1000     30.33     31.49     32.69     34.01
          7     40000      1000     36.47     37.75     38.67     40.82
          8     40000      1000     43.58     44.91     46.18     47.43
          9     40000      1000     49.63     51.23     52.44     53.93
         10     40000      1000     56.00     56.94     57.75     58.94
         11     40000      1000     62.51     63.87     65.30     68.74
         12     40000      1000     69.09     70.29     71.49     72.82
         13     40000      1000     75.22     76.65     77.44     78.47
         14     40000      1000     81.84     83.30     84.64     86.00
         15     40000      1000     88.31     89.65     90.94     92.53
         16     40000      1000     94.38     95.54     96.40     98.29
         17     40000      1000    100.93    102.45    103.66    105.06
         18     40000      1000    107.50    109.12    110.43    112.03
         19     40000      1000    114.08    115.11    115.84    117.02
         20     40000      1000    120.48    122.13    123.41    124.61
         21     40000      1000    127.02    128.45    129.80    130.87
         22     40000      1000    133.36    134.44    135.29    136.79
         23     40000      1000    139.75    140.96    142.29    144.34
         24     40000      1000    146.02    147.56    148.83    150.33
         25     40000      1000    152.37    153.59    154.47    157.43
         26     40000      1000    158.98    160.19    161.48    163.24
         27     40000      1000    165.28    166.65    168.05    169.79
         28     40000      1000    171.70    173.01    173.81    175.27
         29     40000      1000    178.22    179.75    181.03    185.30
         30     40000      1000    184.74    185.93    187.23    188.64
         31     40000      1000    190.94    191.94    192.95    194.73
         32     40000      1000    197.49    198.81    200.26    202.30
         33     40000      1000    203.72    205.46    206.86    209.36
         34     40000      1000    210.22    211.58    212.46    217.31
         35     40000      1000    216.55    218.02    219.33    221.59
         36     40000      1000    223.16    224.54    225.89    227.43
         37     40000      1000    229.46    230.54    231.33    232.95
         38     40000      1000    235.93    237.31    238.63    240.61
         39     40000      1000    242.29    243.79    245.31    248.13
         40     40000      1000    248.68    250.07    251.00    253.01
         41     40000      1000    255.24    256.70    258.11    259.83
         42     40000      1000    261.63    263.31    264.96    266.92
         43     40000      1000    267.78    269.09    270.39    524.70
         44     40000      1000    274.57    276.29    278.01    530.07
         45     40000      1000    280.89    283.12    284.74    535.07
         46     40000      1000    287.32    289.59    290.94    293.64
         47     40000      1000    294.16    297.01    298.77    302.25
         48     40000      1000    300.36    303.10    305.23    554.38
         49     40000      1000    307.52    310.25    311.71    563.80
         50     40000      1000    313.97    317.41    319.36    558.62
         51     40000      1000    321.17    324.39    326.03    581.85
         52     40000      1000    325.59    330.42    332.07    588.67
         53     40000      1000    332.64    337.05    338.78    342.05
         54     40000      1000    339.21    343.99    345.75    349.68
         55     40000      1000    347.38    351.35    352.98    359.41
         56     40000      1000    352.08    356.36    358.98    364.86
         57     40000      1000    359.37    364.16    366.52    369.92
         58     40000      1000    365.36    369.90    372.86    625.40
