# Command to run on POD:
#     ./submit-clusterperf <#machines> <#servers-per-machine> clusterperf.py -r 0 --disjunct --transport basic+ofiud treeBcast --verbose --cpusPerServer 10 --servers <#servers> --count 10000 --size 100

============================
Servers/machine = 2
Broadcast Tree	= 10-nomial
Message Size	= 100B
============================

# Note: Latency numbers are displayed in microseconds.
#     nodes  size (B)       ops       min       p50       p90       p99
#----------------------------------------------------------------------
         44       100     10000     12.15     13.92     15.02     18.22
         45       100     10000     12.32     13.84     15.20     18.36
         46       100     10000     12.30     13.82     15.21     18.48
         47       100     10000     12.46     13.78     15.31     18.59
         48       100     10000     12.78     14.11     15.38     18.83
         49       100     10000     13.58     15.10     16.26     20.15
         50       100     10000     14.03     15.56     16.58     19.98
         51       100     10000     13.84     15.34     16.39     20.30
         52       100     10000     13.83     15.50     16.48     20.34
         53       100     10000     13.73     15.19     16.24     19.69
         54       100     10000     13.64     15.29     16.38     19.89
         55       100     10000     13.81     15.36     16.46     20.22
         56       100     10000     13.93     15.54     16.68     20.43
         57       100     10000     13.85     15.37     16.64     20.85
         58       100     10000     14.00     15.54     16.80     20.30

============================
Servers/machine = 2
Broadcast Tree	= 10-nomial
Message Size	= 8KB
============================

#     nodes  size (B)       ops       min       p50       p90       p99
#----------------------------------------------------------------------
          2      8000      1000      5.63      6.10      6.57      7.40
          3      8000      1000      7.34      7.92      8.42      9.25
          4      8000      1000      8.74      9.46     10.12     11.79
          5      8000      1000     10.13     10.90     11.56     12.67
          6      8000      1000     11.51     12.19     12.93     14.10
          7      8000      1000     12.85     13.55     14.26     16.64
          8      8000      1000     14.23     15.07     16.02     19.87
          9      8000      1000     15.64     16.24     17.04     19.93
         10      8000      1000     16.59     17.40     18.27     23.39
         11      8000      1000     18.28     19.03     20.96     26.17
         12      8000      1000     18.18     19.02     20.18     26.21
         13      8000      1000     18.07     18.93     23.29     25.28
         14      8000      1000     18.17     18.97     19.87     24.70
         15      8000      1000     18.20     19.04     20.23     23.07
         16      8000      1000     18.22     19.14     20.80     23.18
         17      8000      1000     19.24     20.22     21.08     22.39
         18      8000      1000     20.25     21.23     22.13     23.87
         19      8000      1000     21.51     22.75     23.94     25.82
         20      8000      1000     22.82     24.03     25.01     28.87
         21      8000      1000     22.92     23.97     25.03     26.52
         22      8000      1000     22.84     23.92     24.91     26.57
         23      8000      1000     22.92     23.94     24.82     26.48
         24      8000      1000     23.04     24.00     25.00     27.10
         25      8000      1000     22.83     23.96     24.84     26.93
         26      8000      1000     22.97     24.00     24.95     28.06
         27      8000      1000     22.88     23.98     24.99     27.06
         28      8000      1000     23.13     24.13     25.22     27.92
         29      8000      1000     23.69     24.80     25.86     27.94
         30      8000      1000     24.82     25.94     27.09     31.40
         31      8000      1000     24.82     25.86     26.79     28.58
         32      8000      1000     24.45     25.98     27.31     29.31
         33      8000      1000     24.60     25.89     26.96     28.55
         34      8000      1000     24.64     25.93     26.91     29.98
         35      8000      1000     24.83     26.08     27.28     28.61
         36      8000      1000     24.76     26.00     27.07     29.71
         37      8000      1000     24.52     25.83     26.74     28.94
         38      8000      1000     24.82     26.13     27.36     32.39
         39      8000      1000     25.13     26.36     27.40     29.46
         40      8000      1000     26.16     27.41     28.37     30.66
         41      8000      1000     26.10     27.67     28.81     32.22
         42      8000      1000     26.18     27.58     28.74     31.29
         43      8000      1000     26.25     27.54     28.54     30.09
         44      8000      1000     26.16     27.36     28.79     32.09
         45      8000      1000     25.99     27.17     28.12     30.13
         46      8000      1000     26.15     27.38     28.45     30.67
         47      8000      1000     26.38     27.52     28.49     30.76
         48      8000      1000     26.38     27.62     28.75     30.70

============================
Servers/machine = 2
Broadcast Tree	= 10-nomial
Message Size	= 100B
============================

#     nodes  size (B)       ops       min       p50       p90       p99
#----------------------------------------------------------------------
         10       100      1000      7.95      9.14     10.85     13.46
         20       100      1000     11.86     13.20     14.35     17.93
         30       100      1000     12.93     14.29     15.51     20.79
         40       100      1000     14.11     15.52     16.68     23.28
         50       100      1000     14.42     15.85     17.12     22.98
         60       100      1000     15.09     16.57     17.83     22.06
         70       100      1000     15.61     17.12     18.74     30.48
         80       100      1000     16.32     18.06     19.90     26.83
         90       100      1000     16.95     19.18     21.00     28.72
        100       100      1000     17.50     20.14     21.88     26.68
        110       100      1000     17.23     21.21     24.69     31.10
        120       100      1000     18.21     20.24     23.02     29.54
        130       100      1000     18.30     20.04     22.07     29.18
        140       100      1000     18.62     20.92     22.69     26.21
        150       100      1000     19.51     21.42     23.04     27.32
        160       100      1000     20.02     21.68     23.84     30.07
        170       100      1000     20.71     22.52     24.29     30.01
        180       100      1000     20.56     22.42     24.75     33.00
        190       100      1000     22.16     24.08     26.06     31.72
        200       100      1000     22.05     24.09     26.37     31.48


============================
Servers/machine = 2
Broadcast Tree	= 10-nomial
Message Size	= 1KB
============================

#     nodes  size (B)       ops       min       p50       p90       p99
#----------------------------------------------------------------------
         10      1000      1000      8.99     10.74     12.61     16.31
         20      1000      1000     13.20     14.99     16.25     19.60
         30      1000      1000     14.32     16.27     17.45     22.70
         40      1000      1000     15.48     16.83     17.94     22.82
         50      1000      1000     15.65     18.06     19.24     22.70
         60      1000      1000     16.77     18.42     19.74     26.99
         70      1000      1000     17.37     19.52     21.22     28.71
         80      1000      1000     18.37     20.43     22.50     28.14
         90      1000      1000     19.43     21.77     23.52     32.03
        100      1000      1000     19.78     22.40     24.46     31.61
        110      1000      1000     19.95     23.55     27.04     32.09
        120      1000      1000     20.00     22.45     25.52     32.10
        130      1000      1000     19.94     22.04     24.19     31.31
        140      1000      1000     20.74     23.08     25.23     33.77
        150      1000      1000     21.29     23.32     25.31     30.47
        160      1000      1000     21.64     23.90     25.94     30.57
        170      1000      1000     22.75     24.58     26.33     30.76
        180      1000      1000     22.91     24.96     27.23     32.52
        190      1000      1000     23.43     26.10     27.71     32.03
        200      1000      1000     24.10     26.79     29.29    127.18
