============================
Servers/machine = 1
Gather Tree		= Flat
Message Size	= 100B
============================

#     nodes  size (B)       ops       min       p50       p90       p99
#----------------------------------------------------------------------
          8     32000      1000     34.43     40.52     42.95     45.43
          9     32000      1000     39.72     45.71     48.34     51.96
         10     32000      1000     42.87     49.67     52.61     55.85
         11     32000      1000     47.80     54.26     57.35     60.23
         12     32000      1000     52.46     59.66     63.29     68.93
         13     32000      1000     56.97     64.17     67.20     70.59
         14     32000      1000     60.44     70.38     76.27     83.54
         15     32000      1000     67.98     75.32     80.86     87.28
         16     32000      1000     71.59     81.62     88.32     97.15
         17     32000      1000     75.96     83.68     87.15     90.21
         18     32000      1000     80.46     93.08    100.55    109.70
         19     32000      1000     85.53     99.72    107.80    115.42
         20     32000      1000     90.37    106.68    115.66    127.37
         21     32000      1000    101.00    116.83    126.15    140.86
         22     32000      1000    103.18    124.84    140.59    154.12
         23     32000      1000    111.80    132.06    142.90    155.81
         24     32000      1000    114.31    140.29    151.17    163.57
         25     32000      1000    130.91    147.10    161.30    173.15
         26     32000      1000    133.65    156.19    168.99    189.07
         27     32000      1000    143.52    164.27    176.38    190.93
         28     32000      1000    147.96    174.80    189.19    205.61
         29     32000      1000    157.79    180.95    197.11    215.44
         30     32000      1000    162.80    192.88    207.09    227.14
         31     32000      1000    173.29    206.73    237.05    255.36
         32     32000      1000    184.49    214.91    249.89    268.16
         33     32000      1000    197.38    217.66    253.09    266.11
         34     32000      1000    200.23    240.38    272.07    290.42
         35     32000      1000    211.87    237.07    256.92    275.03
         36     32000      1000    215.54    248.37    270.26    293.41
         37     32000      1000    225.26    253.60    276.15    305.94
         38     32000      1000    234.23    274.21    328.78    351.24
         39     32000      1000    246.11    288.82    327.40    356.59
         40     32000      1000    252.51    285.98    310.53    341.16
         41     32000      1000    263.00    290.58    313.02    335.09
         42     32000      1000    270.05    314.46    376.19    394.09
         43     32000      1000    276.53    309.82    335.52    360.47
         44     32000      1000    283.29    328.20    396.58    422.31
         45     32000      1000    298.05    341.31    398.79    436.92
         46     32000      1000    309.59    354.99    427.07    466.66
         47     32000      1000    327.33    366.61    430.85    460.86
         48     32000      1000    331.49    365.23    395.04    421.92
         49     32000      1000    328.76    375.21    462.10    494.66
         50     32000      1000    345.30    382.84    416.94    454.74
         51     32000      1000    350.31    398.62    499.81    528.54
         52     32000      1000    363.19    404.34    443.87    468.60
         53     32000      1000    377.34    415.04    448.09    493.92
